x,y,z
13.76994756,17.70369557,0.025
22.32367386,22.40732722,0.025
1.286680083,11.02024609,0.025
16.22860119,6.962182066,0.025
0.599547059,13.9713522,0.025
7.088127044,17.32844796,0.025
13.61622545,19.50786911,0.025
9.699281439,23.40959125,0.025
22.57085271,21.14377178,0.025
16.33527256,13.94601906,0.025
10.16299791,11.72350622,0.025
11.44215998,21.51334782,0.025
6.949437666,11.36555189,0.025
12.8508765,2.18073422,0.025
17.69216555,18.66865558,0.025
9.340003104,16.70337012,0.025
8.145178952,11.12862623,0.025
24.29006515,5.764605109,0.025
18.09847849,11.87721527,0.025
1.814053446,4.974400657,0.025
3.232346615,13.8319433,0.025
17.04029447,13.52549183,0.025
23.16814211,20.97982644,0.025
21.05257965,18.61880809,0.025
15.84163909,9.148514621,0.025
4.80180741,18.1417406,0.025
21.27428543,13.58985816,0.025
23.19840869,19.69045499,0.025
5.44964421,4.43033452,0.025
16.00441542,3.583307937,0.025
5.234333738,18.2677031,0.025
6.869512637,16.30557813,0.025
1.753312627,1.443287196,0.025
13.5190209,20.93656082,0.025
17.2994378,22.3892582,0.025
21.60299174,7.271811146,0.025
17.37408588,21.03549048,0.025
18.16724379,3.486678105,0.025
21.93030097,3.843505214,0.025
24.29060743,9.192574583,0.025
20.99945723,0.039711574,0.025
20.68333789,24.09099214,0.025
7.176244117,20.84219711,0.025
5.398736775,20.79402726,0.025
6.982364921,10.77037555,0.025
20.92280347,13.36837176,0.025
24.13233378,18.77568268,0.025
17.51279447,21.01402714,0.025
18.56843184,7.617160824,0.025
24.44881024,12.56877619,0.025
11.97288631,1.55698701,0.025
1.713747957,1.912407058,0.025
4.59430795,10.9089271,0.025
15.51281704,9.320287491,0.025
6.887711886,19.96795676,0.025
6.074454492,11.98768262,0.025
11.53870379,4.063017122,0.025
14.45408397,17.36912443,0.025
10.98553832,9.299507805,0.025
5.692822418,20.36956041,0.025
23.39930441,6.888811576,0.025
14.17666376,15.28984589,0.025
0.189636583,6.456230932,0.025
24.91702427,5.494106965,0.025
7.367337465,24.70281882,0.025
18.39233466,15.81639435,0.025
4.312956304,20.71079806,0.025
16.89991469,11.14785275,0.025
19.50008056,2.836102097,0.025
23.1882319,5.508408289,0.025
8.637933468,1.421814351,0.025
18.38310469,11.92729084,0.025
7.262122401,22.51777168,0.025
22.39348828,6.25472356,0.025
12.65213155,14.19755435,0.025
4.33062518,13.34590103,0.025
15.22568609,12.28007824,0.025
